Nome do Produto,Categoria,Descrição,Preço Base (R$),Imposto de Importação (%),ICMS (%),IPI (%),Preço Final c/ Impostos (R$)
Processador Eos 1825,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.","R$ 587,54","9,13","13,34","11,05","R$ 784,48"
Processador Unde 8936,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.","R$ 804,29","11,33","12,18","3,28","R$ 1.019,76"
Processador Ducimus 8280,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.","R$ 2.607,07","13,42","16,3","10,52","R$ 3.656,15"
Processador Reprehenderit 6874,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.","R$ 1.271,54","13,84","16,86","0,1","R$ 1.663,17"
Processador Corrupti 2616,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.","R$ 2.943,49","10,1","12,93","14,36","R$ 4.044,06"
Processador Aliquam 5515,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.","R$ 857,74","10,7","14,15","5,16","R$ 1.115,15"
Processador Quas 4334,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.","R$ 3.324,95","15,95","15,22","14,6","R$ 4.846,78"
Processador Culpa 6202,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.","R$ 775,80","9,4","15,77","13,28","R$ 1.074,10"
Processador Atque 5926,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.","R$ 2.520,73","15,57","12,27","3,42","R$ 3.308,71"
Processador Consequuntur 4742,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.","R$ 3.948,28","17,83","17,2","5,7","R$ 5.556,41"
Processador Praesentium 7429,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.","R$ 2.724,90","10,47","14,22","3,14","R$ 3.483,24"
Processador Consequatur 4375,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.","R$ 2.956,37","15,25","12,43","9,52","R$ 4.056,14"
Processador Deleniti 8752,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.","R$ 3.051,94","7,45","14,28","14,84","R$ 4.168,03"
Processador Optio 9126,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.","R$ 1.268,65","9,86","16,61","0,84","R$ 1.615,12"
Processador Reprehenderit 526,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.","R$ 3.317,66","11,02","12,4","13,7","R$ 4.549,18"
Processador Natus 9293,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.","R$ 3.567,29","9,72","15,93","5,93","R$ 4.693,84"
Processador Deleniti 7518,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.","R$ 1.000,05","7,09","16,47","8,08","R$ 1.316,47"
Processador Veritatis 9578,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.","R$ 1.999,52","13,75","14,17","14,96","R$ 2.856,91"
Processador Eveniet 2267,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.","R$ 2.283,34","6,36","12,28","1,64","R$ 2.746,40"
Processador Incidunt 2622,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.","R$ 3.272,28","11,33","12,38","5,72","R$ 4.235,31"
Processador Ullam 7669,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.","R$ 2.351,90","19,57","17,16","0,17","R$ 3.219,75"
Processador Dolore 1877,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.","R$ 2.885,99","13,05","13,6","9,61","R$ 3.932,45"
Processador Voluptatem 1828,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.","R$ 1.527,25","7,37","12,02","10,83","R$ 1.988,78"
Processador Illum 4316,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.","R$ 3.901,61","16,43","15,05","1,6","R$ 5.192,26"
Processador Expedita 4890,Processador,"Processador com desempenho confiável, ideal para setups gamers e profissionais.","R$ 3.445,84","12,61","13,19","5,61","R$ 4.528,18"
Placa de Vídeo Voluptatibus 2647,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.","R$ 4.236,27","16,68","15,18","0,01","R$ 5.586,37"
Placa de Vídeo Recusandae 5311,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.","R$ 3.931,63","6,68","14,18","14,78","R$ 5.332,86"
Placa de Vídeo Architecto 5039,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.","R$ 2.436,71","8,61","15,4","1,18","R$ 3.050,52"
Placa de Vídeo Tenetur 7963,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.","R$ 5.896,14","19,67","15,2","1,89","R$ 8.063,56"
Placa de Vídeo Suscipit 7788,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.","R$ 6.681,09","7,48","15,17","9,1","R$ 8.802,34"
Placa de Vídeo Quas 3471,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.","R$ 6.573,48","16,33","16,14","10,69","R$ 9.410,59"
Placa de Vídeo Dolore 6538,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.","R$ 6.970,90","14,75","14,63","7,76","R$ 9.559,89"
Placa de Vídeo Repellat 1983,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.","R$ 2.487,43","5,96","12,13","8,31","R$ 3.144,11"
Placa de Vídeo Accusantium 9642,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.","R$ 2.321,30","6,06","15,79","3,43","R$ 2.908,12"
Placa de Vídeo Quisquam 515,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.","R$ 6.157,81","6,06","13,43","10,03","R$ 7.975,60"
Placa de Vídeo Possimus 3511,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.","R$ 4.235,40","15,85","17,29","8,64","R$ 6.004,95"
Placa de Vídeo Facilis 3982,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.","R$ 5.707,72","17,11","13,14","1,45","R$ 7.517,07"
Placa de Vídeo Soluta 7063,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.","R$ 3.125,79","11,17","17,18","0,81","R$ 4.037,27"
Placa de Vídeo Possimus 1613,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.","R$ 1.363,68","15,92","16,8","1,64","R$ 1.832,24"
Placa de Vídeo Suscipit 3140,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.","R$ 2.141,25","11,73","14,53","4,18","R$ 2.793,05"
Placa de Vídeo Voluptas 4093,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.","R$ 6.246,92","6,13","16,85","12,84","R$ 8.484,57"
Placa de Vídeo Itaque 1605,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.","R$ 1.303,53","19,99","17,02","14,53","R$ 1.975,37"
Placa de Vídeo Facilis 3873,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.","R$ 1.997,87","12,28","13,28","6,02","R$ 2.628,80"
Placa de Vídeo Ipsum 961,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.","R$ 1.987,82","5,03","14,34","13,9","R$ 2.649,17"
Placa de Vídeo Distinctio 7455,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.","R$ 2.711,50","15,45","16,38","11,75","R$ 3.893,17"
Placa de Vídeo Ab 7974,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.","R$ 1.928,78","9,45","17,81","8,69","R$ 2.622,18"
Placa de Vídeo Aliquam 8884,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.","R$ 1.365,75","9,7","12,3","7,15","R$ 1.763,87"
Placa de Vídeo Maxime 8702,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.","R$ 1.944,60","19,41","12,48","2,79","R$ 2.618,99"
Placa de Vídeo Nihil 9750,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.","R$ 1.407,77","17,93","14,42","14,12","R$ 2.061,96"
Placa de Vídeo Nisi 9334,Placa de Vídeo,"Placa de Vídeo com desempenho confiável, ideal para setups gamers e profissionais.","R$ 2.477,29","13,92","15,72","6,29","R$ 3.367,38"
Memória RAM Enim 9563,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.","R$ 495,66","9,75","13,56","10,05","R$ 661,01"
Memória RAM Quia 5148,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.","R$ 267,08","10,94","16,03","4,5","R$ 351,13"
Memória RAM Similique 5181,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.","R$ 750,31","19,04","12,06","9,32","R$ 1.053,59"
Memória RAM Ut 9225,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.","R$ 797,27","6,1","13,28","3,98","R$ 983,51"
Memória RAM Magni 5719,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.","R$ 716,60","18,19","14,22","2,37","R$ 965,83"
Memória RAM Sunt 8901,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.","R$ 592,48","14,18","17,92","9,81","R$ 840,79"
Memória RAM Pariatur 129,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.","R$ 567,50","13,32","17,59","1,55","R$ 751,71"
Memória RAM Quam 2201,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.","R$ 285,13","18,35","16,45","2,33","R$ 391,00"
Memória RAM Sapiente 4617,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.","R$ 523,38","15,76","13,22","9,51","R$ 724,83"
Memória RAM Odio 4326,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.","R$ 453,79","8,77","17,45","0,76","R$ 576,22"
Memória RAM Alias 6940,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.","R$ 680,54","5,66",14,"1,96","R$ 827,67"
Memória RAM Amet 4292,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.","R$ 213,11","11,63","16,23","8,41","R$ 290,40"
Memória RAM Deleniti 1833,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.","R$ 152,67","18,25","17,42","8,18","R$ 219,62"
Memória RAM Eos 6050,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.","R$ 507,76","7,22","12,76","4,62","R$ 632,67"
Memória RAM Eos 654,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.","R$ 729,25","8,15","13,5","1,54","R$ 898,36"
Memória RAM Veritatis 9174,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.","R$ 718,89","11,1","15,72","2,32","R$ 928,37"
Memória RAM Deleniti 3879,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.","R$ 705,22","19,64","16,86","13,22","R$ 1.055,86"
Memória RAM Dolor 407,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.","R$ 225,55","18,87","16,69","6,18","R$ 319,69"
Memória RAM Dignissimos 4066,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.","R$ 286,76","16,81","12,65","13,08","R$ 408,75"
Memória RAM Fuga 7712,Memória RAM,"Memória RAM com desempenho confiável, ideal para setups gamers e profissionais.","R$ 255,70","17,25","14,76","4,58","R$ 349,26"
